x,y,t
196.639686074969,392.623867484034,0
189.524099809943,398.693889380413,0
184.801729575377,398.852495362959,0
203.10551755643,360.183791589935,0
171.681678389227,358.061517179468,0
174.561373713629,381.780860263756,0
145.36173651254,385.113764354524,0
132.871541618753,424.062557176215,0
166.710769422851,369.15361673804,0
177.649530973184,413.145843813569,0
205.589283071441,411.900758794232,0
155.053341669,386.594309125314,0
132.684761350217,375.667966317674,0
166.498110991977,377.09397149026,0
176.19254222344,358.518714452481,0
217.003738797367,389.319336127636,0
225.168864388715,372.340709156018,0
212.503322848326,394.002418462498,0
223.673175048,402.900622133495,0
192.277410524472,392.197771456424,0
178.091351573164,408.806395376338,0
227.54524514002,392.917001340711,0
210.773436670634,400.962350031957,0
112.718994041062,375.491989256481,0
186.233500892915,437.140550452028,0
152.113939400261,386.7727868342,0
194.164606144641,437.595243273557,0
224.110513350691,393.241772072057,0
218.206698333534,417.574672602947,0
214.769741978066,381.427049960372,0
201.949567527567,456.469478600789,0
194.434757790816,367.295214146007,0
214.877795366011,333.191585950018,0
257.488834671558,385.420238537391,0
228.538622273851,397.577928041563,0
246.591847933697,393.697636100173,0
229.049934351441,374.19625568354,0
208.41276421844,446.547518994211,0
213.805327065605,406.306854301136,0
215.230288208443,350.532577362471,0
236.952921733968,368.434639425428,0
285.044942949257,419.583967314098,0
248.570964103254,366.37789454166,0
203.749129197908,411.127659957995,0
221.329379323023,395.203260356713,0
252.391930499579,396.267383098865,0
270.175965711408,408.289843768692,0
231.654834656081,322.794374161906,0
240.79378461747,363.103588868404,0
229.085537110286,339.46132680402,0
209.326814967954,369.1507648081,0
262.151923757836,390.128430079808,0
206.917131731351,343.561132127604,0
201.309861859028,385.465541370352,0
229.001647619646,345.629234321354,0
195.084417641626,346.731127241142,0
254.305074341625,347.70731822967,0
232.721088175564,372.559254142508,0
205.244719708401,312.866931996214,0
215.240575945681,396.826019800969,0
205.730671636198,394.190274407282,0
186.256052815189,369.15178231363,0
164.89818816032,334.889838455134,0
148.433455982079,357.314357472294,0
209.851149043283,351.576946652331,0
153.269762054853,346.768373671879,0
167.984988644702,414.00216151039,0
182.196188676492,390.597631733644,0
170.47541229931,350.066519211807,0
186.57568691882,394.392235522263,0
183.334693930945,378.724578734712,0
179.289083855006,379.466436207883,0
143.063568495323,380.696099057554,0
219.485836533583,360.461717442364,0
227.594749497402,360.67888444472,0
174.662576893271,401.272400190543,0
163.070862834924,366.585668880661,0
193.642994165664,380.391093596873,0
182.761522549345,360.772090666305,0
