0.323,0.325,0
0.97,0.662,1
0.404,0.525,1
0.515,0.314,1
0.988,0.173,1
0.658,0.912,1
0.543,0.342,1
0.413,0.354,1
0.188,0.772,1
0.362,0.721,1
0.756,0.643,1
0.625,0.693,1
0.76,0.61,1
0.204,0.192,0
0.549,0.247,1
0.928,0.558,1
0.438,0.225,0
0.698,0.973,1
0.121,0.298,0
0.973,0.289,1
0.609,0.207,0
0.239,0.705,1
0.158,0.317,0
0.551,0.349,1
0.552,0.934,1
0.093,0.795,0
0.992,0.273,1
0.913,0.122,1
0.461,0.677,1
0.117,0.38,0
0.832,0.98,1
0.498,0.818,1
0.717,0.955,1
0.509,0.805,1
0.273,0.29,0
0.835,0.288,1
0.98,0.714,1
0.244,0.346,0
0.551,0.442,1
0.384,0.256,0
0.922,0.479,1
0.508,0.202,0
0.879,0.539,1
0.864,0.933,1
0.276,0.696,1
0.79,0.137,0
0.415,0.616,1
0.934,0.587,1
0.508,0.242,1
0.821,0.67,1
0.283,0.531,0
0.299,0.638,1
0.587,0.052,0
0.999,0.413,1
0.49,0.717,1
0.149,0.101,0
0.539,0.771,1
0.345,0.005,0
0.552,0.55,1
0.543,0.929,1
0.455,0.407,0
0.322,0.935,1
0.189,0.878,1
0.697,0.477,1
0.572,0.199,0
0.234,0.964,1
0.776,0.321,1
0.044,0.646,0
0.745,0.908,1
0.705,0.089,0
0.811,0.574,1
0.386,0.535,1
0.664,0.723,1
0.821,0.937,1
0.981,0.913,1
0.495,0.175,0
0.037,0.882,1
0.502,0.176,0
0.59,0.92,1
0.87,0.997,1
0.874,0.397,1
0.44,0.495,1
0.526,0.937,1
0.457,0.962,1
0.722,0.926,1
0.41,0.877,1
0.655,0.009,0
0.154,0.568,0
0.469,0.107,0
0.969,0.983,1
0.339,0.285,0
0.693,0.989,1
0.65,0.543,1
0.852,0.494,1
0.852,0.939,1
0.859,0.851,1
0.38,0.468,0
0.317,0.193,0
0.719,0.113,0
0.759,0.162,0
0.872,0.459,1
0.036,0.257,0
0.068,0.186,0
0.631,0.737,1
0.921,0.791,1
0.997,0.568,1
0.747,0.757,1
0.434,0.175,0
0.098,0.856,1
0.634,0.897,1
0.873,0.827,1
0.444,0.515,1
0.694,0.087,0
0.903,0.669,1
0.046,0.185,0
0.796,0.141,0
0.293,0.324,0
0.375,0.248,0
0.146,0.261,0
0.531,0.236,0
0.566,0.754,1
0.793,0.954,1
0.17,0.302,0
0.079,0.723,0
0.871,0.011,1
0.62,0.654,1
0.241,0.693,1
0.913,0.062,1
0.143,0.118,0
0.461,0.307,0
0.254,0.405,0
0.255,0.503,0
0.009,0.895,1
0.805,0.704,1
0.901,0.311,1
0.678,0.117,0
0.158,0.916,1
0.442,0.295,0
0.346,0.615,1
0.588,0.219,1
0.639,0.134,0
0.424,0.153,0
0.25,0.748,1
0.845,0.606,1
0.199,0.416,0
0.385,0.549,1
0.483,0.471,1
0.237,0.538,1
0.572,0.664,1
0.575,0.218,1
0.993,0.247,1
0.295,0.755,1
0.978,0.873,1
0.658,0.082,0
0.274,0.447,0
0.566,0.704,1
0.686,0.078,0
0.745,0.564,1
0.049,0.062,0
0.606,0.548,1
0.497,0.505,1
0.904,0.573,1
0.286,0.15,0
0.799,0.328,1
0.607,0.52,1
0.352,0.116,0
0.637,0.205,1
0.621,0.583,1
0.678,0.091,0
0.721,0.51,1
0.659,0.809,1
0.838,0.453,1
0.628,0.513,1
0.903,0.457,1
0.646,0.058,0
0.309,0.462,1
0.441,0.807,1
0.58,0.723,1
0.732,0.396,1
0.09,0.816,1
0.295,0.746,1
0.747,0.578,1
0.176,0.045,0
0.132,0.345,0
0.539,0.064,0
0.971,0.994,1
0.531,0.935,1
0.913,0.069,1
0.83,0.934,1
0.257,0.032,0
0.825,0.409,1
0.482,0.769,1
0.806,0.766,1
0.747,0.978,1
0.339,0.646,1
0.115,0.42,0
0.963,0.993,1
0.141,0.382,0
0.967,0.87,1
0.86,0.907,1
0.724,0.376,1
0.98,0.683,1
0.967,0.662,1
0.805,0.539,1
0.366,0.654,1
0.791,0.348,1
0.014,0.178,0
0.537,0.537,1
0.455,0.529,1
0.673,0.728,1
0.672,0.223,0
0.585,0.003,0
0.822,0.023,1
0.94,0.298,1
0.108,0.673,0
0.234,0.544,1
0.025,0.532,0
0.884,0.823,1
0.561,0.248,0
0.915,0.346,1
0.221,0.276,0
0.063,0.937,1
0.824,0.725,1
0.909,0.113,1
0.302,0.809,1
0.408,0.419,1
0.14,0.766,0
0.946,0.884,1
0.304,0.016,0
0.493,0.206,0
0.097,0.101,0
0.887,0.034,1
0.136,0.598,0
0.454,0.703,1
0.67,0.049,0
0.743,0.741,1
0.946,0.402,1
0.419,0.234,0
0.742,0.217,0
0.155,0.864,1
0.415,0.056,0
0.099,0.504,0
0.489,0.289,1
0.408,0.816,1
0.952,0.732,1
0.033,0.319,0
0.371,0.598,1
0.443,0.673,1
0.951,0.321,1
0.855,0.302,1
