1.4128 1.5303  1
1.8134 1.6311  1
1.4329 4.3768  0
1.8727 4.1807  0
2.0952 1.0791  1
2.7389 0.1568  1
3.1852 0.0890  1
2.0616 1.9692  1
2.0384 1.1547  1
-0.0475 5.4743  0
1.7144 5.0252  0
0.2246 4.7703  0
1.0692 4.5307  0
1.5328 0.5504  1
1.4949 3.8585  0
1.1641 3.7913  0
0.7439 4.1224  0
2.2967 0.4868  1
0.4436 3.1153  0
0.9143 4.5501  0
1.6747 0.6800  1
2.2691 1.3216  1
1.5109 0.9288  1
1.6518 0.6819  1
2.4927 0.9751  1
2.3381 3.4312  0
0.6705 4.0409  0
-0.5555 4.6960  0
2.1617 0.6566  1
2.0968 3.7174  0
2.1802 1.4836  1
0.4390 4.5359  0
1.2426 4.5040  0
0.0079 4.1761  0
1.8959 5.1854  0
1.8683 0.9314  1
2.1314 1.1389  1
1.0627 5.1764  0
2.3347 -0.0241  1
0.6698 3.5954  0
1.0771 1.1753  1
1.5463 4.2130  0
1.5674 -0.1381  1
1.3562 1.4382  1
1.0037 4.1915  0
1.2930 1.4793  1
2.9482 2.0352  1
0.3471 3.4518  0
2.7625 0.7897  1
0.7675 4.3976  0
